numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07460;20250106150000;100190;170;3;260;6.600000;285.050000;275.750000;53;35440;0;mq;mq;100;1;1250;mq;mq;mq;96320;mq;mq;-100;mq;mq;mq;mq;282.150000;mq;mq;10.900000;12.000000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;1;mq;1260;8;mq;3600;mq;mq;mq;mq;mq;mq;
07471;20250106150000;mq;110;3;260;5.400000;280.050000;277.050000;81;12570;61;mq;mq;100;8;450;mq;mq;mq;90740;92500;675;-400;mq;mq;mq;mq;277.750000;mq;mq;10.600000;12.800000;-10;2;0.000000;mq;mq;0.200000;0.200000;0.200000;0.800000;0.800000;mq;mq;mq;mq;3;mq;510;4;mq;690;7;mq;960;mq;mq;mq;
07481;20250106150000;100110;40;3;190;10.300000;285.750000;281.650000;76;30000;2;2;2;100;5;1250;38;27;mq;97300;mq;mq;-540;mq;mq;mq;mq;mq;mq;mq;14.700000;18.100000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;1;8;1100;5;6;1900;7;3;3800;mq;mq;mq;
07510;20250106150000;100580;180;3;290;4.700000;284.750000;278.150000;64;19310;0;mq;mq;100;5;1250;mq;mq;mq;100010;mq;mq;510;mq;mq;mq;mq;280.250000;mq;mq;7.000000;10.100000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;1.400000;1.400000;mq;mq;mq;mq;5;mq;1230;8;mq;4800;mq;mq;mq;mq;mq;mq;
07535;20250106150000;100570;180;3;270;2.500000;283.050000;279.250000;77;18010;0;mq;mq;mq;4;1250;mq;mq;mq;97470;mq;mq;160;mq;mq;mq;mq;281.450000;mq;mq;7.300000;8.800000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;2;mq;1110;4;mq;1470;5;mq;2280;mq;mq;mq;
07558;20250106150000;100480;140;3;290;6.200000;280.750000;277.350000;79;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;92230;mq;mq;-190;mq;mq;mq;mq;278.950000;mq;mq;11.400000;13.700000;-10;mq;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20250106150000;100340;-30;5;190;4.100000;285.250000;283.950000;92;6860;63;mq;mq;mq;mq;mq;mq;mq;mq;99460;mq;mq;-670;mq;mq;mq;mq;283.050000;mq;mq;7.200000;10.700000;-10;2;0.000000;mq;mq;8.000000;9.200000;11.200000;13.000000;13.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20250106150000;mq;90;6;250;1.600000;279.150000;277.950000;92;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;90610;92500;704;-590;mq;273.550000;mq;279.250000;mq;mq;mq;2.400000;4.100000;-10;mq;0.000000;mq;mq;0.000000;0.400000;1.600000;2.400000;2.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20250106150000;100740;180;3;240;2.900000;283.950000;282.550000;91;16780;0;mq;mq;100;7;450;mq;mq;mq;100030;mq;mq;420;mq;mq;mq;mq;280.850000;mq;mq;4.600000;5.200000;-10;mq;0.010000;mq;mq;0.000000;0.600000;3.400000;4.000000;4.000000;mq;mq;mq;mq;1;mq;360;7;mq;1200;8;mq;3660;mq;mq;mq;
07621;20250106150000;100900;150;1;240;2.700000;279.750000;278.550000;92;6620;61;mq;mq;100;8;800;mq;mq;mq;96550;mq;mq;450;mq;mq;mq;mq;274.850000;mq;mq;4.900000;6.500000;-10;2;0.000000;mq;mq;1.400000;6.500000;7.700000;7.700000;7.700000;mq;mq;mq;mq;1;mq;750;8;mq;1230;mq;mq;mq;mq;mq;mq;
07627;20250106150000;100950;230;3;320;2.500000;279.550000;278.650000;94;14650;61;mq;mq;100;8;450;mq;mq;mq;96000;mq;mq;470;mq;275.350000;mq;284.150000;278.950000;mq;mq;4.800000;10.600000;-10;2;0.000000;mq;mq;0.800000;3.000000;3.000000;3.000000;3.000000;mq;mq;mq;mq;2;mq;300;4;mq;460;5;mq;740;mq;8;mq;
07630;20250106150000;100740;160;3;240;5.900000;282.250000;279.850000;85;43540;0;mq;mq;100;1;1250;mq;mq;mq;98940;mq;mq;270;mq;mq;mq;mq;278.850000;mq;mq;8.600000;10.700000;-10;2;0.000000;mq;mq;0.200000;0.400000;0.400000;0.400000;0.400000;mq;mq;mq;mq;1;mq;1140;5;mq;1680;8;mq;2040;mq;mq;mq;
