numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20250120120000;101990;-50;8;140;2.000000;276.450000;273.650000;82;8480;0;mq;mq;mq;mq;mq;mq;mq;mq;101090;mq;mq;-240;mq;mq;mq;mq;273.150000;mq;mq;3.900000;5.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20250120120000;102020;-40;8;150;2.600000;273.350000;273.350000;100;640;45;mq;mq;101;9;30;mq;mq;mq;101420;mq;mq;-280;mq;mq;mq;mq;273.250000;mq;mq;3.700000;3.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20250120120000;101920;70;1;100;3.900000;277.950000;275.850000;86;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101810;mq;mq;-60;mq;mq;mq;mq;mq;mq;mq;6.500000;7.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20250120120000;101930;-20;8;130;5.000000;275.350000;273.850000;90;6840;0;mq;mq;100;8;250;mq;mq;mq;101090;mq;mq;-240;mq;mq;mq;mq;275.350000;mq;mq;6.900000;8.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20250120120000;102000;-30;8;130;2.600000;274.250000;272.750000;90;10380;0;mq;mq;100;8;250;mq;mq;mq;100030;mq;mq;-230;mq;mq;mq;mq;275.450000;mq;mq;4.200000;5.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20250120120000;102100;10;0;160;1.500000;271.250000;270.950000;98;480;48;mq;mq;100;8;80;mq;mq;mq;100890;mq;mq;-210;mq;mq;mq;mq;272.650000;mq;mq;2.800000;4.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20250120120000;101680;10;0;70;1.800000;282.350000;276.150000;65;19230;0;mq;mq;mq;0;mq;mq;mq;mq;100490;mq;mq;-120;mq;mq;mq;mq;270.650000;mq;mq;2.800000;3.600000;-10;0;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20250120120000;101780;-10;8;90;4.500000;276.150000;276.150000;100;6000;2;2;mq;100;8;1250;36;mq;mq;101060;mq;mq;-50;mq;mq;mq;mq;mq;mq;mq;7.600000;8.100000;-10;1;mq;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;7;1000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20250120120000;101860;0;0;140;3.600000;274.750000;273.250000;90;14060;0;mq;mq;100;8;250;mq;mq;mq;101390;mq;mq;-230;mq;mq;mq;mq;273.250000;mq;mq;5.400000;6.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20250120120000;101960;-40;8;90;2.600000;272.750000;272.050000;95;9740;0;mq;mq;100;8;150;mq;mq;mq;100130;mq;mq;-260;mq;mq;mq;mq;276.550000;mq;mq;4.400000;5.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
