numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20250105180000;99110;-100;8;190;2.500000;284.650000;283.250000;91;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;98260;mq;mq;-1980;283.050000;mq;285.350000;mq;278.650000;mq;mq;8.700000;10.100000;-10;1;0.000000;mq;mq;0.200000;0.800000;0.800000;4.200000;14.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20250105180000;99150;-60;7;190;8.900000;284.050000;282.950000;93;16250;61;mq;mq;100;8;450;mq;mq;mq;98590;mq;mq;-2150;275.250000;mq;285.550000;mq;274.650000;mq;mq;14.200000;14.200000;-10;2;0.000000;mq;mq;0.200000;1.000000;1.000000;3.800000;10.700000;mq;mq;mq;mq;7;mq;360;7;mq;540;8;mq;960;mq;8;mq;
07020;20250105180000;98640;-190;8;180;11.900000;285.850000;285.050000;95;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98530;mq;mq;-1780;285.050000;mq;285.950000;mq;mq;mq;mq;17.700000;19.000000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;4.800000;20.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20250105180000;99050;-150;8;180;7.800000;285.550000;284.150000;91;12630;0;mq;mq;100;6;450;mq;mq;mq;98260;mq;mq;-1630;285.350000;mq;286.350000;mq;280.850000;mq;mq;12.400000;13.200000;-10;1;0.000000;mq;mq;0.000000;0.400000;1.200000;3.200000;14.200000;mq;mq;mq;mq;6;mq;450;8;mq;2400;mq;mq;mq;mq;mq;mq;
07037;20250105180000;99290;-80;7;190;9.400000;284.350000;282.050000;86;36230;0;mq;mq;100;8;800;mq;mq;mq;97450;mq;mq;-1640;283.450000;mq;284.950000;mq;278.650000;mq;mq;14.400000;14.600000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;-0.100000;2.400000;14.100000;mq;mq;mq;mq;8;mq;630;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20250105180000;99660;-100;6;200;4.400000;285.150000;281.450000;78;20000;61;mq;mq;100;8;2640;mq;mq;mq;98540;mq;mq;-1630;284.250000;mq;285.750000;mq;280.650000;mq;mq;7.700000;11.800000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;1.400000;13.500000;mq;mq;mq;mq;8;mq;2640;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20250105180000;98560;-270;8;200;11.100000;286.150000;284.750000;91;9130;0;mq;mq;100;8;450;mq;mq;mq;97420;mq;mq;-1590;285.350000;mq;286.350000;mq;284.950000;mq;mq;17.500000;17.800000;-10;2;0.000000;mq;mq;0.000000;-0.100000;0.400000;5.300000;24.800000;mq;mq;mq;mq;8;mq;390;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20250105180000;98600;-200;8;200;6.700000;286.650000;285.550000;93;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;97930;mq;mq;-1460;285.950000;mq;287.850000;mq;mq;mq;mq;13.800000;13.800000;-10;mq;mq;mq;mq;0.200000;0.200000;0.200000;1.200000;8.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20250105180000;99120;-190;8;180;6.900000;285.550000;283.950000;90;16420;0;mq;mq;90;3;450;mq;mq;mq;98680;mq;mq;-1460;285.050000;mq;286.850000;mq;283.650000;mq;mq;10.300000;10.800000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;3.200000;5.000000;11.800000;mq;mq;mq;mq;3;mq;420;4;mq;1620;7;mq;2520;mq;mq;mq;
07139;20250105180000;99360;-150;8;190;6.200000;284.450000;281.650000;83;20000;0;mq;mq;100;8;1250;mq;mq;mq;97660;mq;mq;-1440;283.450000;mq;285.150000;mq;278.450000;mq;mq;10.400000;10.800000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;0.800000;15.500000;mq;mq;mq;mq;5;mq;1050;8;mq;1260;mq;mq;mq;mq;mq;mq;
