numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20241227210000;103220;-50;6;120;1.000000;273.850000;273.450000;97;7010;0;mq;mq;mq;mq;mq;mq;mq;mq;102300;mq;mq;-280;mq;mq;mq;mq;274.350000;mq;mq;1.800000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20241227210000;103270;-30;8;90;1.700000;272.650000;272.650000;100;80;49;mq;mq;101;9;30;mq;mq;mq;102670;mq;mq;-260;mq;mq;mq;mq;274.750000;mq;mq;2.400000;3.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20241227210000;103110;-10;0;100;4.000000;278.550000;277.950000;96;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;103000;mq;mq;-200;mq;mq;mq;mq;mq;mq;mq;5.400000;5.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20241227210000;103180;-10;8;160;2.100000;275.850000;275.750000;99;160;45;mq;mq;101;9;30;mq;mq;mq;102330;mq;mq;-200;mq;mq;mq;mq;280.250000;mq;mq;5.200000;5.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20241227210000;103230;-20;8;150;1.400000;272.750000;272.750000;100;110;49;mq;mq;101;9;30;mq;mq;mq;101230;mq;mq;-220;mq;mq;mq;mq;276.950000;mq;mq;2.000000;2.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20241227210000;103260;-30;8;80;1.300000;271.250000;270.550000;95;7150;0;mq;mq;mq;0;mq;mq;mq;mq;102040;mq;mq;-170;mq;mq;mq;mq;273.450000;mq;mq;1.600000;1.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20241227210000;103140;0;0;210;2.600000;277.050000;277.050000;100;3810;10;mq;mq;100;8;80;mq;mq;mq;101910;mq;mq;-90;mq;mq;mq;mq;279.250000;mq;mq;3.200000;3.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20241227210000;103110;10;0;160;2.700000;277.350000;277.050000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102380;mq;mq;-150;mq;mq;mq;mq;mq;mq;mq;5.000000;5.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20241227210000;103180;20;1;170;2.300000;276.450000;274.850000;89;10900;0;mq;mq;100;8;250;mq;mq;mq;102710;mq;mq;-100;mq;mq;mq;mq;280.650000;mq;mq;3.900000;4.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20241227210000;103210;-10;8;210;1.000000;274.950000;274.850000;99;3940;10;mq;mq;100;8;150;mq;mq;mq;101380;mq;mq;-140;mq;mq;mq;mq;280.750000;mq;mq;1.700000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
