numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20241226210000;103490;10;0;70;2.100000;277.150000;277.150000;100;300;45;mq;mq;mq;mq;mq;mq;mq;mq;102580;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;4.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20241226210000;103530;0;0;60;3.000000;276.950000;276.950000;100;140;45;mq;mq;101;9;30;mq;mq;mq;102930;mq;mq;-30;mq;mq;mq;mq;274.850000;mq;mq;4.500000;5.000000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20241226210000;103310;-60;8;80;6.000000;282.050000;282.050000;100;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;103200;mq;mq;-150;mq;mq;mq;mq;mq;mq;mq;7.900000;8.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20241226210000;103370;-10;8;90;2.800000;279.850000;279.750000;99;210;45;mq;mq;101;9;30;mq;mq;mq;102530;mq;mq;-180;mq;mq;mq;mq;281.450000;mq;mq;3.800000;4.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20241226210000;103430;-30;8;30;2.900000;276.350000;276.350000;100;570;45;mq;mq;101;9;30;mq;mq;mq;101450;mq;mq;-150;mq;mq;mq;mq;279.450000;mq;mq;3.600000;3.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20241226210000;103430;-20;8;20;0.800000;273.050000;272.450000;96;20000;0;mq;mq;mq;0;mq;mq;mq;mq;102210;mq;mq;-210;mq;mq;mq;mq;275.550000;mq;mq;1.600000;1.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20241226210000;103230;-40;7;50;3.100000;278.950000;278.950000;100;200;45;mq;mq;101;9;30;mq;mq;mq;102000;mq;mq;-210;mq;mq;mq;mq;278.950000;mq;mq;4.300000;5.200000;-10;2;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.600000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20241226210000;103250;-40;7;80;4.300000;280.150000;280.150000;100;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102530;mq;mq;-180;mq;mq;mq;mq;mq;mq;mq;8.200000;8.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20241226210000;103270;0;0;30;1.400000;280.250000;279.650000;96;11120;0;mq;mq;100;8;150;mq;mq;mq;102810;mq;mq;-200;mq;mq;mq;mq;281.850000;mq;mq;2.200000;4.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;180;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20241226210000;103330;-20;8;50;3.300000;278.350000;277.950000;97;7490;0;mq;mq;100;8;150;mq;mq;mq;101520;mq;mq;-190;mq;mq;mq;mq;281.350000;mq;mq;5.100000;5.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20241226210000;103370;-40;8;30;2.700000;276.850000;276.250000;96;8020;0;mq;mq;mq;0;mq;mq;mq;mq;102230;mq;mq;-200;mq;mq;mq;mq;mq;mq;mq;4.400000;4.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20241226210000;103380;-10;4;20;1.100000;273.650000;272.750000;94;18250;0;mq;mq;mq;0;mq;mq;mq;mq;101870;mq;mq;-220;mq;mq;mq;mq;274.750000;mq;mq;1.600000;2.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20241226210000;103400;-40;8;70;2.900000;275.550000;270.850000;71;41740;0;mq;mq;mq;0;mq;mq;mq;mq;99040;mq;mq;-210;mq;mq;mq;mq;272.950000;mq;mq;3.900000;5.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20241226210000;103550;0;0;300;2.100000;273.150000;272.050000;92;16470;0;mq;mq;mq;0;mq;mq;mq;mq;101620;mq;mq;-130;mq;mq;mq;mq;271.850000;mq;mq;3.200000;5.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20241226210000;mq;mq;mq;90;5.200000;281.050000;mq;mq;2000;10;2;mq;100;8;150;36;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9.000000;9.000000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;100;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20241226210000;103170;0;0;60;3.100000;278.150000;277.150000;93;13070;0;mq;mq;mq;1;250;mq;mq;mq;102840;mq;mq;-230;mq;mq;mq;mq;276.250000;mq;mq;4.200000;6.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20241226210000;103270;40;1;70;2.600000;276.850000;276.450000;97;7070;0;mq;mq;mq;0;mq;mq;mq;mq;101860;mq;mq;-210;mq;mq;mq;mq;278.450000;mq;mq;3.900000;6.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20241226210000;103330;20;2;100;1.800000;272.750000;272.150000;96;7980;0;mq;mq;mq;mq;mq;mq;mq;mq;101210;mq;mq;-160;mq;mq;mq;mq;276.250000;mq;mq;2.100000;2.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20241226210000;103390;0;5;20;1.900000;273.550000;270.450000;80;13800;0;mq;mq;mq;0;mq;mq;mq;mq;100600;mq;mq;-70;mq;mq;mq;mq;274.550000;mq;mq;3.900000;4.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20241226210000;103570;-20;7;100;3.100000;272.350000;270.950000;90;11230;0;mq;mq;mq;0;mq;mq;mq;mq;100100;mq;mq;-110;mq;mq;mq;mq;275.350000;mq;mq;5.300000;5.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07314;20241226210000;103100;40;0;70;4.300000;280.150000;277.750000;85;12000;1;0;mq;25;2;450;36;27;mq;102810;mq;mq;-170;mq;mq;mq;mq;mq;mq;mq;8.200000;9.500000;-10;2;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;500;1;4;0;mq;mq;mq;mq;mq;mq;
07335;20241226210000;103180;20;0;40;2.400000;275.450000;273.950000;90;29260;0;mq;mq;mq;0;mq;mq;mq;mq;101660;mq;mq;-250;mq;mq;mq;mq;279.350000;mq;mq;3.200000;4.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20241226210000;103100;50;3;50;2.300000;277.050000;274.550000;84;17610;0;mq;mq;mq;0;mq;mq;mq;mq;98140;mq;mq;-200;mq;mq;mq;mq;276.250000;mq;mq;3.000000;3.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07460;20241226210000;103340;70;1;230;1.400000;273.350000;273.050000;98;6000;0;mq;mq;90;7;250;mq;mq;mq;99180;mq;mq;-150;mq;mq;mq;mq;269.650000;mq;mq;2.300000;2.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20241226210000;mq;80;1;190;0.600000;269.650000;269.150000;96;11250;0;mq;mq;mq;0;mq;mq;mq;mq;93270;92500;899;-80;mq;mq;mq;mq;269.950000;mq;mq;1.000000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20241226210000;103450;70;1;0;0.000000;271.750000;270.750000;93;250;41;4;0;0;0;mq;30;20;10;100390;mq;mq;10;mq;mq;mq;mq;mq;mq;mq;0.800000;3.700000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07510;20241226210000;103040;30;1;160;2.700000;279.850000;277.550000;85;29920;0;mq;mq;100;8;450;mq;mq;mq;102440;mq;mq;-120;mq;mq;mq;mq;279.050000;mq;mq;4.100000;5.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;mq;420;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07535;20241226210000;103160;60;1;140;1.700000;274.150000;273.850000;98;9290;0;mq;mq;mq;0;mq;mq;mq;mq;99880;mq;mq;-60;mq;mq;mq;mq;277.550000;mq;mq;2.500000;3.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20241226210000;103080;90;1;60;2.200000;279.050000;272.750000;64;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;94560;mq;mq;90;mq;mq;mq;mq;274.050000;mq;mq;2.900000;4.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20241226210000;103260;40;1;10;4.200000;276.750000;273.950000;82;16470;0;mq;mq;mq;mq;mq;mq;mq;mq;102320;mq;mq;50;mq;mq;mq;mq;275.950000;mq;mq;7.600000;8.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20241226210000;mq;40;1;90;0.800000;272.950000;268.850000;74;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;92850;92500;904;130;mq;270.350000;mq;282.550000;mq;mq;mq;1.300000;2.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20241226210000;103070;60;3;140;1.900000;279.450000;278.750000;95;19800;0;mq;mq;100;8;150;mq;mq;mq;102330;mq;mq;-60;mq;mq;mq;mq;282.050000;mq;mq;3.800000;4.700000;-10;mq;0.010000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;7;mq;180;8;mq;300;mq;mq;mq;mq;mq;mq;
07621;20241226210000;103030;30;0;190;1.400000;278.050000;277.950000;99;150;45;mq;mq;101;9;30;mq;mq;mq;98560;mq;mq;-70;mq;mq;mq;mq;277.850000;mq;mq;2.000000;2.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
