numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20250104210000;100730;-410;8;130;5.900000;274.050000;271.850000;85;10730;70;mq;mq;mq;mq;mq;mq;mq;mq;99830;mq;mq;-1720;mq;mq;mq;mq;272.650000;mq;mq;11.300000;11.700000;-10;0;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20250104210000;100930;-400;8;120;4.000000;274.550000;271.950000;83;23700;0;mq;mq;100;8;1750;mq;mq;mq;100340;mq;mq;-1450;mq;mq;mq;mq;272.550000;mq;mq;6.400000;8.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;1860;8;mq;2160;mq;mq;mq;mq;mq;mq;
07020;20250104210000;99960;-460;8;90;2.200000;277.650000;277.550000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99850;mq;mq;-2450;mq;mq;mq;mq;mq;mq;mq;6.100000;7.000000;-10;mq;mq;mq;mq;1.400000;7.100000;8.500000;8.500000;8.500000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20250104210000;100310;-410;8;130;8.000000;274.550000;274.250000;98;3940;60;mq;mq;100;8;250;mq;mq;mq;99480;mq;mq;-2190;mq;mq;mq;mq;275.850000;mq;mq;10.200000;11.500000;-10;1;0.000000;mq;mq;2.000000;5.200000;8.200000;8.200000;8.200000;mq;mq;mq;mq;7;mq;210;8;mq;330;mq;8;mq;mq;mq;mq;
07037;20250104210000;100690;-350;6;120;6.900000;272.850000;272.250000;96;3040;70;mq;mq;100;8;150;mq;mq;mq;98740;mq;mq;-1820;mq;mq;mq;mq;273.650000;mq;mq;9.900000;11.900000;-10;mq;0.000000;mq;mq;0.800000;2.200000;2.400000;2.400000;2.400000;mq;mq;mq;mq;7;mq;180;8;mq;300;mq;8;mq;mq;mq;mq;
07072;20250104210000;101050;-310;8;110;4.900000;273.450000;272.750000;95;4200;70;mq;mq;100;8;800;mq;mq;mq;99860;mq;mq;-1490;mq;mq;mq;mq;272.750000;mq;mq;6.600000;7.800000;-10;mq;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;600;mq;8;mq;mq;mq;mq;mq;mq;mq;
07110;20250104210000;100080;-90;8;220;12.300000;286.250000;286.050000;99;3610;61;mq;mq;100;8;150;mq;mq;mq;98920;mq;mq;-2220;mq;mq;mq;mq;275.050000;mq;mq;19.300000;19.600000;-10;2;0.000000;mq;mq;0.800000;1.400000;6.400000;14.700000;14.700000;mq;mq;mq;mq;8;mq;120;mq;8;mq;mq;mq;mq;mq;mq;mq;
07117;20250104210000;99940;-130;6;220;10.400000;286.750000;286.550000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99260;mq;mq;-2390;mq;mq;mq;mq;mq;mq;mq;18.000000;18.000000;-10;mq;mq;mq;mq;0.400000;2.800000;8.700000;14.500000;14.500000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20250104210000;100400;-180;6;220;6.300000;285.850000;285.250000;96;10410;61;mq;mq;100;8;450;mq;mq;mq;99960;mq;mq;-2010;mq;mq;mq;mq;273.050000;mq;mq;10.500000;11.300000;-10;2;0.000000;mq;mq;0.400000;1.000000;3.900000;8.100000;8.100000;mq;mq;mq;mq;8;mq;300;mq;8;mq;mq;mq;mq;mq;mq;mq;
07139;20250104210000;100650;-250;6;310;0.900000;273.650000;273.650000;100;2910;61;mq;mq;100;8;150;mq;mq;mq;98850;mq;mq;-1860;mq;mq;mq;mq;276.850000;mq;mq;1.300000;1.600000;-10;2;0.000000;mq;mq;1.000000;5.400000;12.100000;12.500000;12.500000;mq;mq;mq;mq;8;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
