numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20241230180000;102990;-20;6;180;1.500000;277.350000;276.950000;97;6090;0;mq;mq;mq;mq;mq;mq;mq;mq;102080;mq;mq;-180;277.350000;mq;280.050000;mq;278.250000;mq;mq;3.700000;4.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20241230180000;102960;0;0;180;5.500000;277.950000;277.550000;97;6680;0;mq;mq;100;8;150;mq;mq;mq;102370;mq;mq;-200;277.950000;mq;279.550000;mq;277.850000;mq;mq;7.300000;8.700000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;180;8;mq;300;mq;mq;mq;mq;mq;mq;
07020;20241230180000;mq;10;1;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102770;mq;mq;-290;mq;mq;mq;mq;mq;mq;mq;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20241230180000;103040;-10;6;160;2.000000;275.750000;274.850000;94;16130;0;mq;mq;100;8;450;mq;mq;mq;102190;mq;mq;-200;275.550000;mq;279.050000;mq;279.450000;mq;mq;3.500000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;4;mq;390;8;mq;600;mq;mq;mq;mq;mq;mq;
07037;20241230180000;103080;-10;6;170;3.100000;274.750000;274.750000;100;9590;0;mq;mq;100;8;250;mq;mq;mq;101100;mq;mq;-160;274.750000;mq;277.950000;mq;277.950000;mq;mq;4.800000;5.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20241230180000;103210;0;0;180;2.800000;272.950000;272.550000;97;12790;0;mq;mq;100;8;150;mq;mq;mq;101990;mq;mq;-120;272.950000;mq;274.850000;mq;274.650000;mq;mq;4.500000;5.700000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20241230180000;102970;20;2;160;4.000000;279.550000;278.850000;95;17380;0;mq;mq;mq;1;800;mq;mq;mq;101750;mq;mq;-260;279.550000;mq;281.450000;mq;279.450000;mq;mq;5.400000;6.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;1;mq;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20241230180000;102910;-10;8;180;3.600000;280.450000;280.150000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102190;mq;mq;-300;280.450000;mq;281.350000;mq;mq;mq;mq;5.800000;5.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20241230180000;103070;20;1;230;1.900000;276.450000;275.450000;93;13450;0;mq;mq;100;8;450;mq;mq;mq;102600;mq;mq;-220;275.350000;mq;277.150000;mq;279.150000;mq;mq;2.600000;2.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;540;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20241230180000;103080;-20;8;160;1.100000;275.250000;274.950000;98;4120;10;mq;mq;100;8;150;mq;mq;mq;101250;mq;mq;-240;274.350000;mq;276.150000;mq;279.750000;mq;mq;2.100000;2.100000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;120;8;mq;360;mq;mq;mq;mq;mq;mq;
