numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20241224180000;102930;140;1;270;3.700000;283.550000;283.550000;100;790;45;mq;mq;mq;mq;mq;mq;mq;mq;102050;mq;mq;400;278.650000;mq;283.650000;mq;278.550000;mq;mq;5.200000;5.800000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20241224180000;102860;110;3;190;2.600000;281.650000;281.650000;100;4440;10;mq;mq;100;8;150;mq;mq;mq;102280;mq;mq;450;277.950000;mq;281.650000;mq;278.050000;mq;mq;3.500000;5.300000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20241224180000;103010;110;2;280;5.900000;284.250000;284.250000;100;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102900;mq;mq;400;284.150000;mq;285.750000;mq;mq;mq;mq;7.700000;7.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20241224180000;103050;100;2;240;2.900000;284.050000;283.850000;99;4730;10;mq;mq;100;8;80;mq;mq;mq;102230;mq;mq;340;283.650000;mq;285.050000;mq;281.350000;mq;mq;4.200000;5.400000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.600000;1.600000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20241224180000;103020;140;1;270;2.300000;283.050000;283.050000;100;170;45;mq;mq;101;9;30;mq;mq;mq;101100;mq;mq;390;278.550000;mq;283.050000;mq;279.150000;mq;mq;4.800000;4.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20241224180000;103110;130;3;290;0.700000;278.950000;278.350000;96;3610;10;mq;mq;100;8;250;mq;mq;mq;101920;mq;mq;660;276.650000;mq;279.650000;mq;277.750000;mq;mq;2.000000;2.000000;-10;2;0.000000;mq;mq;-0.100000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20241224180000;103220;90;3;330;1.400000;284.450000;284.450000;100;220;45;mq;mq;101;9;30;mq;mq;mq;102020;mq;mq;330;284.450000;mq;285.850000;mq;284.050000;mq;mq;2.000000;2.200000;-10;2;0.000000;mq;mq;0.000000;-0.100000;-0.100000;0.600000;3.700000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20241224180000;103170;110;1;250;3.400000;284.450000;284.450000;100;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102460;mq;mq;490;284.450000;mq;285.650000;mq;mq;mq;mq;5.100000;5.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;1.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20241224180000;103170;140;2;290;1.100000;285.350000;285.050000;98;550;44;mq;mq;100;8;80;mq;mq;mq;102720;mq;mq;290;284.450000;mq;286.250000;mq;283.050000;mq;mq;2.300000;2.300000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;1.200000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20241224180000;103100;130;1;190;0.700000;282.650000;282.550000;99;1790;10;mq;mq;100;8;150;mq;mq;mq;101320;mq;mq;330;279.050000;mq;283.650000;mq;280.350000;mq;mq;1.000000;2.800000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;1.000000;mq;mq;mq;mq;6;mq;120;8;mq;270;mq;mq;mq;mq;mq;mq;
07149;20241224180000;103110;130;3;230;2.500000;280.850000;280.750000;99;1420;20;5;2;100;8;mq;37;mq;mq;101990;mq;mq;480;278.250000;mq;280.850000;mq;mq;mq;mq;3.700000;4.000000;-10;2;0.000000;0.000000;-60;-0.100000;-0.100000;-0.100000;0.400000;1.600000;mq;mq;mq;mq;8;7;70;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20241224180000;103150;110;1;150;1.500000;278.950000;278.350000;96;18790;0;mq;mq;100;7;450;mq;mq;mq;101680;mq;mq;610;276.750000;mq;279.750000;mq;277.950000;mq;mq;2.400000;3.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;5;mq;570;7;mq;1350;8;mq;1620;mq;mq;mq;
07181;20241224180000;103230;110;3;150;1.900000;276.250000;274.950000;91;15650;0;mq;mq;100;8;1750;mq;mq;mq;98890;mq;mq;850;272.450000;mq;277.150000;mq;271.950000;mq;mq;2.700000;2.800000;-10;mq;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;1680;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20241224180000;103260;170;2;100;0.900000;277.350000;275.650000;89;14150;0;mq;mq;100;8;2250;mq;mq;mq;101370;mq;mq;1090;276.550000;mq;279.650000;mq;275.750000;mq;mq;1.200000;1.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;7;mq;2400;8;mq;3060;mq;mq;mq;mq;mq;mq;
07207;20241224180000;mq;mq;mq;340;1.700000;285.850000;mq;mq;2000;10;2;mq;100;8;150;36;mq;mq;mq;mq;mq;mq;284.950000;mq;286.550000;mq;mq;mq;mq;2.600000;5.200000;-10;1;mq;mq;mq;0.000000;0.400000;0.400000;4.000000;4.800000;mq;mq;mq;mq;8;7;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20241224180000;103160;110;2;330;0.900000;284.250000;283.650000;96;6510;0;mq;mq;100;8;450;mq;mq;mq;102840;mq;mq;170;282.950000;mq;285.150000;mq;282.850000;mq;mq;1.300000;2.000000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.400000;mq;mq;mq;mq;8;mq;420;mq;mq;mq;mq;mq;mq;mq;mq;mq;
