numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
61996;20241226150000;101590;40;1;320;9.800000;291.050000;290.750000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101250;mq;mq;-610;mq;290.650000;mq;293.850000;mq;mq;mq;mq;13.000000;-10;mq;mq;mq;mq;0.200000;2.400000;2.400000;2.400000;2.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20241226150000;100350;250;3;270;11.400000;280.550000;276.450000;75;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98590;mq;mq;380;mq;279.950000;mq;283.950000;mq;mq;mq;mq;26.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.600000;20.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20241226150000;98060;-510;6;300;15.900000;283.350000;280.250000;81;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;97710;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;22.600000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
67005;20241226150000;101210;70;3;310;2.900000;300.350000;297.250000;83;20000;0;mq;mq;90;1;1250;mq;mq;mq;101130;mq;mq;30;mq;mq;mq;mq;mq;mq;mq;3.800000;3.800000;-10;mq;mq;mq;mq;0.000000;0.000000;41.500000;41.500000;44.100000;mq;mq;mq;mq;1;mq;1290;5;mq;3600;7;mq;4620;mq;9;mq;
71805;20241226150000;101900;-100;8;40;10.400000;275.550000;274.950000;96;19860;0;mq;mq;100;8;450;mq;mq;mq;101810;mq;mq;-990;mq;mq;mq;mq;274.450000;mq;mq;13.400000;15.000000;-10;mq;mq;mq;mq;0.000000;0.200000;1.400000;3.200000;3.200000;mq;mq;mq;mq;8;mq;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78890;20241226150000;101540;40;0;80;7.400000;302.050000;292.150000;55;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101220;mq;mq;-30;mq;299.050000;mq;302.350000;mq;mq;mq;mq;mq;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20241226150000;101540;30;0;100;5.200000;301.750000;295.050000;67;47170;mq;mq;mq;mq;mq;mq;mq;mq;mq;101450;mq;mq;-20;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78922;20241226150000;101510;20;0;90;6.700000;302.050000;295.550000;68;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101070;mq;mq;-70;mq;298.550000;mq;302.750000;mq;mq;mq;9.300000;12.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20241226150000;101440;-10;8;110;6.600000;303.450000;296.150000;65;51060;0;mq;mq;mq;3;800;mq;mq;mq;101350;mq;mq;-100;mq;mq;mq;mq;mq;mq;mq;10.600000;10.600000;-10;mq;mq;mq;mq;-0.100000;-0.100000;1.000000;1.600000;1.600000;mq;mq;mq;mq;3;mq;870;3;mq;1170;5;mq;1560;mq;8;mq;
81401;20241226150000;101220;60;8;60;1.800000;303.850000;297.050000;67;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101160;mq;mq;20;mq;295.450000;mq;305.250000;mq;mq;mq;3.900000;5.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20241226150000;101250;-10;8;60;6.200000;302.850000;296.350000;68;35430;0;mq;mq;90;7;800;mq;mq;mq;101160;mq;mq;-20;mq;mq;mq;mq;299.450000;mq;mq;8.400000;11.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;5;mq;840;5;mq;1020;7;mq;1320;mq;mq;mq;
81408;20241226150000;101240;10;0;10;3.400000;300.650000;297.250000;82;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101160;mq;mq;60;mq;295.150000;mq;304.850000;mq;mq;mq;6.000000;6.000000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20241226150000;98940;-20;8;130;9.300000;270.850000;260.550000;41;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98410;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;15.400000;18.000000;-30;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
